"ï..Status","card_present","txn_description","first_name","balance","date","gender","age","State","amount","movement","SalaryPerAnnum"
"1","1",1,"2","Diana","35.39","8/1/2018","1",26,"0","16.25","0","25,897.44"
"2","1",0,"0","Diana","21.2","8/1/2018","1",26,"2","14.19","0","22,421.16"
"3","1",1,"2","Michael","5.71","8/1/2018","2",38,"2","6.42","0","15,713.04"
"4","1",1,"0","Rhonda","2,117.22","8/1/2018","1",40,"0","40.9","0","14,980.32"
"5","1",1,"0","Diana","17.95","8/1/2018","1",26,"0","3.25","0","52,506.00"
"6","2",NA,"1","Robert","1,705.43","8/1/2018","2",20,NA,"163","0","14,793.00"
"7","1",1,"0","Kristin","1,248.36","8/1/2018","1",43,"1","61.06","0","53,557.92"
"8","1",1,"2","Kristin","1,232.75","8/1/2018","1",43,"1","15.61","0","3,126,441.96"
"9","1",1,"2","Tonya","213.16","8/1/2018","1",27,"4","19.25","0","38,075.28"
"10","2",NA,"3","Michael","466.58","8/1/2018","2",40,NA,"21","0","367,142.76"
"11","2",NA,"1","Fernando","4,348.50","8/1/2018","2",19,NA,"27","0","53,992.56"
"12","2",NA,"1","Kristin","1,203.75","8/1/2018","1",43,NA,"29","0","19,858.44"
"13","1",1,"0","Tonya","207.08","8/1/2018","1",27,"4","6.08","0","138,480.36"
"14","2",NA,"3","Isaiah","4,438.16","8/1/2018","2",23,NA,"25","0","19,642.92"
"15","2",NA,"3","Ricky","173.66","8/1/2018","2",43,NA,"39","0","25,406.64"
"16","1",1,"2","Jeffrey","2.85","8/1/2018","2",30,"0","10.79","0","150,761.76"
"17","2",NA,"3","Patrick","260,514.83","8/1/2018","2",46,NA,"22","0","25,088.28"
"18","2",NA,"1","Karen","3,117.94","8/1/2018","1",26,NA,"55","0","20,620.56"
"19","2",NA,"1","Ruth","38.31","8/1/2018","1",47,NA,"58","0","20,278.68"
"20","1",1,"2","Kimberly","708.28","8/1/2018","1",24,"1","7.37","0","138,306.48"
"21","1",1,"2","Diana","3.85","8/1/2018","1",26,"2","14.1","0","13,266.00"
"22","1",0,"2","Joseph","275.93","8/1/2018","2",37,"2","24.77","0","597,382.92"
"23","1",1,"0","Tiffany","259.37","8/1/2018","1",25,"4","13.67","0","24,865.20"
"24","1",0,"2","Emily","30,583.15","8/1/2018","1",43,"1","12.08","0","15,860.40"
"25","1",1,"2","Joseph","793.64","8/1/2018","2",21,"2","72.12","0","225,602.40"
"26","2",NA,"3","Christine","4,474.38","8/1/2018","1",39,NA,"25","0","366,997.80"
